TransactionID,ItemName,Category,Quantity,UnitPrice,TotalCost,PurchaseDate,Supplier,Buyer
TXN094,Whiteboard,Furniturem,16,139.65,2234.4,2024-10-10,QuickDeliver Ltd.,Lisa Parks
TXN025,Notepad,Stationeryy,18,1.15,20.7,2024-05-21,QuickDeliver Ltd.,Lisa Parks
TXN026,Desk Chair,Furnitue,15,106.14,1592.1,2024-08-25,OfficeSupplies Co.,Rebecca Bell
TXN027,Annual Software License,SoftwaQe,1,5099.86,5099.86,2024-01-10,FurniWorks Ltd.,Stephanie Bennett
TXN028,Desk Chair,Furniturp,6,187.26,1123.56,2024-08-10,TechMart Inc.,Dawn Padilla
TXN029,Laptop Bag,AccessoriesM,5,30.33,151.65,2024-11-10,OfficeSupplies Co.,Stephanie Bennett
TXN030,Printer,Electroncs,4,232.03,928.12,2024-06-15,OfficeSupplies Co.,Aaron Hopkins
TXN037,Laptop,ElectronCcs,16,980.67,15690.72,2024-05-13,QuickDeliver Ltd.,Luis Holland
TXN032,Annual Software License,Softare,1,5760.09,5760.09,2024-01-08,TechMart Inc.,Aaron Hopkins
TXN033,Monitor,ENectronics,18,296.04,5328.72,2024-01-14,TechMart Inc.,Kevin Adams
TXN034,Desk Chair,Furnture,3,106.75,320.25,2024-04-20,CloudSoft Corp.,Dawn Padilla
TXN035,Annual Software License,Softwarek,1,5563.23,5563.23,2024-10-26,TechMart Inc.,Laura White
TXN036,Notepad,tationery,13,2.62,34.06,2024-10-19,OfficeSupplies Co.,Stephanie Bennett
TXN037,Printer Ink,Stationer,8,12.63,101.04,2024-09-11,OfficeSupplies Co.,Rebecca Bell
TXN038,Whiteboard,Funiture,2,124.14,248.28,2024-05-08,FurniWorks Ltd.,Jessica Hodges
TXN039,Laptop,Electronicse,4,989.93,3959.72,2024-10-06,FurniWorks Ltd.,Nicole Clay
TXN040,Printer,Electronicsa,3,170.05,510.15,2024-09-02,QuickDeliver Ltd.,Rebecca Bell
TXN041,Printer Ink,Stationey,8,13.86,110.88,2024-06-13,OfficeSupplies Co.,Dawn Padilla
TXN042,Whiteboard,Furnitume,3,108.27,324.81,2024-08-25,FurniWorks Ltd.,Kayla Hanson
TXN043,Laptop,Electronicsc,9,832.13,7489.17,2024-04-27,TechMart Inc.,Kayla Hanson
TXN044,Stapler,Office Suppliese,16,13.07,209.12,2024-01-03,TechMart Inc.,Jasmine Mcgee
TXN095,Laptop,Electro1ics,12,835.25,10023.0,2024-08-05,QuickDeliver Ltd.,Laura White
TXN496,Stapler,Office Supplis,11,14.43,158.73,2024-04-10,CloudSoft Corp.,Stephanie Bennett
TXN047,Monitor,ElectronicsJ,20,227.87,4557.4,2024-05-01,FurniWorks Ltd.,Noah Long
TXN048,Notepad,Statiwnery,15,2.36,35.4,2024-01-16,QuickDeliver Ltd.,Melissa Mckee
TXN046,Stapler,Office Spplies,11,6.42,70.62,2024-08-01,OfficeSupplies Co.,Amy Warner
TXN050,Desk Chair,FurnitureP,16,163.77,2620.32,2024-02-27,QuickDeliver Ltd.,Kelly Joseph
TXN051,Whiteboard,FurnitureW,10,122.34,1223.4,2024-07-31,CloudSoft Corp.,Kevin Adams
TXN052,Laptop,ElectronicsN,1,876.63,876.63,2024-05-09,FurniWorks Ltd.,Dawn Padilla
TXN593,Printer,ElectronicsO,9,240.89,2168.01,2024-07-06,QuickDeliver Ltd.,Laura White
TXN054,Laptop,ElectronicsK,14,812.03,11368.42,2024-01-01,QuickDeliver Ltd.,Laura White
TXN055,Desk Chair,FurnitureV,20,183.44,3668.8,2024-12-08,TechMart Inc.,Jessica Hodges
TXN056,Desk Chair,Funiture,3,116.49,349.47,2024-09-24,QuickDeliver Ltd.,Dawn Padilla
TXN057,Laptop Bag,Accessoris,5,21.65,108.25,2024-02-04,FurniWorks Ltd.,Dawn Padilla
TXN581,Printer Ink,Stationerw,17,11.86,201.62,2024-11-28,FurniWorks Ltd.,Kelly Joseph
TXN095,Desk Chair,Furnture,20,149.45,2989.0,2024-07-10,CloudSoft Corp.,Kayla Hanson
TXN060,Monitor,Ewectronics,11,348.44,3832.84,2024-05-28,FurniWorks Ltd.,Stephanie Bennett
TXN061,Laptop,Electronis,20,920.32,18406.4,2024-11-17,TechMart Inc.,Dawn Padilla
TXN062,Printer,Electronicsf,5,292.98,1464.9,2024-08-20,QuickDeliver Ltd.,Lisa Parks
TXN063,Whiteboard,Furhiture,18,167.63,3017.34,2024-05-02,CloudSoft Corp.,Rebecca Bell
TXN064,Stapler,Office SuppliesX,13,14.39,187.07,2024-10-29,OfficeSupplies Co.,Kelly Joseph
TXN065,Stapler,Ofice Supplies,3,6.34,19.02,2024-05-02,CloudSoft Corp.,Kelly Joseph
TXN096,Monitor,Electronics9,5,227.26,1136.3,2024-06-30,QuickDeliver Ltd.,Dawn Padilla
TXN067,Notepad,StatiHnery,12,2.2,26.4,2024-06-15,OfficeSupplies Co.,Todd James
TXN068,Desk Chair,Furnture,15,163.45,2451.75,2024-04-08,QuickDeliver Ltd.,Todd James
TXN099,Notepad,Sationery,10,1.38,13.8,2024-11-30,CloudSoft Corp.,Nicole Clay
TXN070,Desk Chair,Furniure,11,118.0,1298.0,2024-03-19,OfficeSupplies Co.,Walter Pena
TXN071,Stapler,Offwce Supplies,7,14.31,100.17,2024-02-03,OfficeSupplies Co.,Melissa Mckee
TXN072,Notepad,StationerS,5,1.97,9.85,2024-05-20,TechMart Inc.,Kevin Adams
TXN073,Laptop,ElectroFics,2,979.47,1958.94,2024-08-13,TechMart Inc.,Jasmine Mcgee
TXN074,Laptop Bag,AccessoriesZ,5,46.27,231.35,2024-05-20,FurniWorks Ltd.,Luis Holland
TXN075,Stapler,Office SuppliesW,8,10.97,87.76,2024-12-27,QuickDeliver Ltd.,Jasmine Mcgee
TXN076,Laptop,Electronic,2,903.12,1806.24,2024-02-04,TechMart Inc.,Noah Long
TXN797,Printer,ElectronicsE,18,281.14,5060.52,2024-10-06,OfficeSupplies Co.,Jessica Hodges
TXN098,Notepad,StationerC,5,2.55,12.75,2024-02-12,TechMart Inc.,Amy Warner
TXN079,Printer Ink,Statinery,4,10.43,41.72,2024-09-01,FurniWorks Ltd.,Nicole Clay
TXN080,Printer,Electronics4,6,189.82,1138.92,2024-11-15,QuickDeliver Ltd.,Todd James
TXN081,Monitor,Electronicsy,12,299.72,3596.64,2024-02-27,FurniWorks Ltd.,Walter Pena
TXN082,Stapler,Ofwice Supplies,12,12.08,144.96,2024-01-10,CloudSoft Corp.,Dawn Padilla
TXN083,Annual Software License,Sofgware,1,9357.86,9357.86,2024-12-02,TechMart Inc.,Lisa Parks
TXN084,Annual Software License,Softwre,1,7221.2,7221.2,2024-09-04,TechMart Inc.,Barry Johnson
TXN895,Whiteboard,FurnitureO,19,124.01,2356.19,2024-05-22,QuickDeliver Ltd.,Luis Holland
TXN862,Whiteboard,urniture,5,153.07,765.35,2024-03-07,TechMart Inc.,Aaron Hopkins
TXN087,Desk Chair,Furniture2,15,165.58,2483.7,2024-04-29,TechMart Inc.,Amy Warner
TXN088,Annual Software License,Softwar,1,5555.59,5555.59,2024-04-20,OfficeSupplies Co.,Amy Warner
TXN089,Whiteboard,Furnitue,6,150.57,903.42,2024-07-23,TechMart Inc.,Lisa Parks
TXN090,Laptop,Electronirs,6,832.8,4996.8,2024-11-06,CloudSoft Corp.,Laura White
TXN091,Desk Chair,Furnituse,15,195.46,2931.9,2024-09-09,QuickDeliver Ltd.,Amy Warner
TXN062,Stapler,Office SuppliesU,7,11.95,83.65,2024-09-19,QuickDeliver Ltd.,Barry Johnson
TXN931,Monitor,ElHctronics,4,246.9,987.6,2024-11-05,CloudSoft Corp.,Todd James
TXN943,Laptop,Electro5ics,7,900.44,6303.08,2024-08-29,CloudSoft Corp.,Barry Johnson
TXN095,Desk Chair,FurnitureV,12,181.86,2182.32,2024-02-21,QuickDeliver Ltd.,Rebecca Bell
TXN096,Desk Chair,FurniUure,1,153.21,153.21,2024-03-15,TechMart Inc.,Kelly Joseph
TXN970,Desk Chair,Furnitur,2,109.08,218.16,2024-08-23,CloudSoft Corp.,Laura White
TXN098,Laptop Bag,Accessnries,12,21.39,256.68,2024-09-16,OfficeSupplies Co.,Luis Holland
TXN990,Annual Software License,Softwaye,1,9534.43,9534.43,2024-04-29,FurniWorks Ltd.,Stephanie Bennett
TXN100,Laptop Bag,Yccessories,10,20.4,204.0,2024-11-23,QuickDeliver Ltd.,Jasmine Mcgee
TXN010,Laptop Bag,Accessorie,17,24.34,413.78,2024-10-05,OfficeSupplies Co.,Todd James
TXN092,Printer,Electronics9,1,214.63,214.63,2024-08-02,TechMart Inc.,Walter Pena
TXN103,Annual Software License,Softwar,1,8578.72,8578.72,2024-10-04,TechMart Inc.,Nicole Clay
TXN104,Printer Ink,StaAionery,11,11.27,123.97,2024-08-29,CloudSoft Corp.,Jasmine Mcgee
TXN105,Laptop,ElectronicsR,1,848.76,848.76,2024-12-25,CloudSoft Corp.,Nicole Clay
TXN106,Whiteboard,Furnituro,6,115.95,695.7,2024-12-24,OfficeSupplies Co.,Walter Pena
TXN107,Whiteboard,Fu7niture,2,124.67,249.34,2024-08-09,TechMart Inc.,Melissa Mckee
TXN190,Laptop Bag,AVcessories,16,23.11,369.76,2024-08-25,FurniWorks Ltd.,Stephanie Bennett
TXN190,Printer,ElectronicsU,6,286.22,1717.32,2024-10-06,OfficeSupplies Co.,Aaron Hopkins
TXN110,Whiteboard,Furniture7,14,175.56,2457.84,2024-08-17,FurniWorks Ltd.,Todd James
TXN112,Laptop Bag,Accesories,20,27.36,547.2,2024-03-08,TechMart Inc.,Noah Long
TXN125,Annual Software License,So8tware,1,7628.02,7628.02,2024-06-06,QuickDeliver Ltd.,Barry Johnson
TXN113,Stapler,Office Supplpes,19,11.32,215.08,2024-07-11,QuickDeliver Ltd.,Todd James
TXN714,Notepad,Stationry,15,2.49,37.35,2024-01-02,TechMart Inc.,Kayla Hanson
TXN115,Desk Chair,Furnitre,18,150.2,2703.6,2024-04-26,TechMart Inc.,Kelly Joseph
TXN167,Whiteboard,Furnituge,19,174.66,3318.54,2024-08-12,QuickDeliver Ltd.,Amy Warner
TXN117,Printer,Electonics,15,194.47,2917.05,2024-09-07,OfficeSupplies Co.,Kayla Hanson
TXN118,Printer Ink,Statioery,16,19.45,311.2,2024-01-08,QuickDeliver Ltd.,Jessica Hodges
TXN119,Stapler,Office SuppliesB,19,9.39,178.41,2024-12-19,TechMart Inc.,Cynthia Jenkins
TXN120,Laptop Bag,Accessorie,12,38.94,467.28,2024-12-27,QuickDeliver Ltd.,Kelly Joseph
TXN217,Annual Software License,Sftware,1,6771.79,6771.79,2024-04-10,TechMart Inc.,Walter Pena
TXN122,Whiteboard,Furniure,2,186.73,373.46,2024-06-19,OfficeSupplies Co.,Luis Holland
TXN293,Stapler,Office Su3plies,16,12.78,204.48,2024-02-20,CloudSoft Corp.,Stephanie Bennett
TXN124,Notepad,Stationeryp,1,2.72,2.72,2024-03-30,FurniWorks Ltd.,Barry Johnson
TXN125,Desk Chair,Furnitre,6,118.67,712.02,2024-01-20,TechMart Inc.,Melissa Mckee
TXN126,Laptop,Eletronics,4,994.88,3979.52,2024-04-03,FurniWorks Ltd.,Laura White
TXN121,Printer Ink,StationeryS,3,18.63,55.89,2024-05-11,CloudSoft Corp.,Barry Johnson
TXN128,Stapler,Office Sup6lies,8,12.92,103.36,2024-07-31,FurniWorks Ltd.,Walter Pena
TXN129,Printer Ink,tationery,10,14.97,149.7,2024-05-01,QuickDeliver Ltd.,Amy Warner
TXN130,Laptop Bag,Accegsories,10,26.48,264.8,2024-04-20,CloudSoft Corp.,Luis Holland
TXN131,Monitor,Electronics8,11,301.04,3311.44,2024-05-18,QuickDeliver Ltd.,Luis Holland
TXN192,Stapler,Office Suppliesl,16,13.81,220.96,2024-12-16,FurniWorks Ltd.,Luis Holland
TXN133,Annual Software License,SoftwSre,1,8878.61,8878.61,2024-09-20,QuickDeliver Ltd.,Barry Johnson
TXN134,Laptop,Electrnics,17,830.68,14121.56,2024-04-21,OfficeSupplies Co.,Todd James
TXN135,Desk Chair,FurnitCre,5,106.3,531.5,2024-12-28,CloudSoft Corp.,Melissa Mckee
TXN136,Printer Ink,Sationery,5,14.07,70.35,2024-04-23,TechMart Inc.,Laura White
TXN137,Laptop,Electronicsb,13,825.83,10735.79,2024-03-14,CloudSoft Corp.,Rebecca Bell
TXN193,Laptop Bag,Accqssories,14,44.92,628.88,2024-10-28,FurniWorks Ltd.,Jessica Hodges
TXN199,Monitor,Electronicst,13,239.84,3117.92,2024-09-24,QuickDeliver Ltd.,Luis Holland
TXN140,Printer Ink,Statinery,8,11.53,92.24,2024-02-29,OfficeSupplies Co.,Cynthia Jenkins
TXN141,Annual Software License,Sofware,1,5452.69,5452.69,2024-05-12,FurniWorks Ltd.,Cynthia Jenkins
TXN420,Annual Software License,Software5,1,6342.34,6342.34,2024-06-27,CloudSoft Corp.,Jasmine Mcgee
TXN143,Stapler,Office Supplies8,13,8.92,115.96,2024-04-09,TechMart Inc.,Kevin Adams
TXN144,Laptop Bag,Accessories8,18,41.98,755.64,2024-06-12,TechMart Inc.,Kelly Joseph
TXN145,Desk Chair,Furnitureo,9,117.69,1059.21,2024-11-27,CloudSoft Corp.,Jasmine Mcgee
TXN146,Desk Chair,Fu3niture,18,108.01,1944.18,2024-12-11,OfficeSupplies Co.,Cynthia Jenkins
TXN147,Desk Chair,Furnture,16,132.2,2115.2,2024-10-26,QuickDeliver Ltd.,Laura White
TXN198,Desk Chair,Eurniture,17,128.36,2182.12,2024-10-11,FurniWorks Ltd.,Laura White
TXN149,Printer,Eldctronics,5,237.86,1189.3,2024-11-15,CloudSoft Corp.,Dawn Padilla
TXN150,Annual Software License,SoftwareB,1,8719.36,8719.36,2024-10-02,OfficeSupplies Co.,Amy Warner
TXN151,Laptop Bag,Accessores,10,32.96,329.6,2024-07-17,OfficeSupplies Co.,Aaron Hopkins
TXN152,Annual Software License,Sotware,1,9331.61,9331.61,2024-08-01,FurniWorks Ltd.,Kayla Hanson
TXN531,Laptop,Flectronics,2,917.39,1834.78,2024-08-14,CloudSoft Corp.,Jessica Hodges
TXN194,Laptop Bag,Accessoriesd,15,21.46,321.9,2024-07-20,CloudSoft Corp.,Melissa Mckee
TXN195,Laptop Bag,Accessoriei,11,25.81,283.91,2024-03-13,TechMart Inc.,Todd James
TXN156,Printer Ink,Stationey,2,13.97,27.94,2024-05-29,FurniWorks Ltd.,Noah Long
TXN597,Annual Software License,Sotware,1,9193.59,9193.59,2024-07-27,OfficeSupplies Co.,Walter Pena
TXN158,Notepad,StaHionery,16,1.71,27.36,2024-03-06,CloudSoft Corp.,Kelly Joseph
TXN159,Printer,Electroncs,3,291.78,875.34,2024-02-03,OfficeSupplies Co.,Dawn Padilla
TXN196,Desk Chair,Furnture,18,121.29,2183.22,2024-04-23,OfficeSupplies Co.,Aaron Hopkins
TXN167,Stapler,Office Suppliel,6,6.38,38.28,2024-04-05,OfficeSupplies Co.,Amy Warner
TXN162,Stapler,Offic Supplies,11,9.93,109.23,2024-06-13,QuickDeliver Ltd.,Amy Warner
TXN633,Printer Ink,Sttionery,6,19.54,117.24,2024-11-07,OfficeSupplies Co.,Luis Holland
TXN764,Annual Software License,Softare,1,5335.46,5335.46,2024-05-29,OfficeSupplies Co.,Jessica Hodges
TXN165,Printer,Electronicsx,6,182.93,1097.58,2024-06-06,CloudSoft Corp.,Todd James
TXN196,Laptop,Electronicsy,4,955.86,3823.44,2024-05-12,CloudSoft Corp.,Barry Johnson
TXN167,Laptop Bag,Accessoris,7,35.33,247.31,2024-08-08,CloudSoft Corp.,Dawn Padilla
TXN196,Laptop Bag,Accesories,7,42.79,299.53,2024-06-04,QuickDeliver Ltd.,Dawn Padilla
TXN169,Monitor,Elecgronics,9,285.63,2570.67,2024-11-27,TechMart Inc.,Melissa Mckee
TXN170,Laptop,Electroics,6,941.67,5650.02,2024-03-28,CloudSoft Corp.,Walter Pena
TXN171,Desk Chair,Furnitureu,3,117.51,352.53,2024-04-21,OfficeSupplies Co.,Dawn Padilla
TXN197,Desk Chair,Furniture3,6,168.75,1012.5,2024-07-20,QuickDeliver Ltd.,Cynthia Jenkins
TXN173,Desk Chair,FurnitureF,14,128.44,1798.16,2024-06-07,FurniWorks Ltd.,Amy Warner
TXN748,Laptop Bag,Acc3ssories,10,40.54,405.4,2024-09-27,OfficeSupplies Co.,Lisa Parks
TXN175,Annual Software License,Softwae,1,9836.53,9836.53,2024-11-26,TechMart Inc.,Amy Warner
TXN179,Monitor,Elsctronics,12,333.18,3998.16,2024-12-23,TechMart Inc.,Nicole Clay
TXN177,Notepad,5tationery,17,1.86,31.62,2024-11-10,CloudSoft Corp.,Laura White
TXN118,Stapler,Ofice Supplies,15,6.83,102.45,2024-03-11,QuickDeliver Ltd.,Lisa Parks
TXN779,Whiteboard,Furniture8,4,132.46,529.84,2024-12-13,CloudSoft Corp.,Stephanie Bennett
TXN190,Laptop,Electronice,8,851.63,6813.04,2024-07-23,TechMart Inc.,Dawn Padilla
TXN181,Laptop,Electronics9,8,840.47,6723.76,2024-11-26,OfficeSupplies Co.,Jasmine Mcgee
TXN182,Notepad,Stationrry,11,2.1,23.1,2024-07-15,FurniWorks Ltd.,Laura White
TXN183,Desk Chair,Furnitur7,20,187.22,3744.4,2024-09-02,FurniWorks Ltd.,Amy Warner
TXN184,Annual Software License,Softwarez,1,9909.24,9909.24,2024-06-20,OfficeSupplies Co.,Melissa Mckee
TXN195,Whiteboard,Furnsture,6,163.03,978.18,2024-06-11,FurniWorks Ltd.,Rebecca Bell
TXN186,Notepad,StationeryO,13,2.53,32.89,2024-09-29,FurniWorks Ltd.,Jessica Hodges
TXN871,Monitor,ElectronicsF,11,346.16,3807.76,2024-03-02,CloudSoft Corp.,Amy Warner
TXN188,Whiteboard,Furnitureq,18,165.31,2975.58,2024-04-26,OfficeSupplies Co.,Walter Pena
TXN199,Monitor,ElectronicsK,18,331.2,5961.6,2024-03-24,QuickDeliver Ltd.,Lisa Parks
TXN190,Notepad,Sationery,2,1.89,3.78,2024-01-20,FurniWorks Ltd.,Lisa Parks
TXN191,Whiteboard,FurnitureT,17,153.8,2614.6,2024-05-19,OfficeSupplies Co.,Luis Holland
TXN192,Notepad,Statonery,13,1.06,13.78,2024-07-29,CloudSoft Corp.,Dawn Padilla
TXN193,Laptop Bag,Accesories,6,33.32,199.92,2024-02-05,QuickDeliver Ltd.,Todd James
TXN199,Monitor,EVectronics,13,307.02,3991.26,2024-03-11,QuickDeliver Ltd.,Todd James
TXN165,Annual Software License,SoftwareS,1,8614.0,8614.0,2024-12-03,OfficeSupplies Co.,Kayla Hanson
TXN196,Whiteboard,Furnitured,7,187.64,1313.48,2024-02-20,CloudSoft Corp.,Jasmine Mcgee
TXN197,Stapler,Office SuHplies,18,5.85,105.3,2024-08-06,FurniWorks Ltd.,Rebecca Bell
TXN198,Notepad,StationeYy,9,2.84,25.56,2024-03-07,QuickDeliver Ltd.,Nicole Clay
TXN199,Whiteboard,FurnitureG,19,198.95,3780.05,2024-12-02,QuickDeliver Ltd.,Stephanie Bennett
TXN200,Printer,Electroncs,20,220.48,4409.6,2024-05-07,TechMart Inc.,Dawn Padilla
TXN201,Stapler,Office Suppliesw,11,9.9,108.9,2024-04-16,OfficeSupplies Co.,Luis Holland
TXN202,Printer Ink,S7ationery,20,10.21,204.2,2024-04-27,FurniWorks Ltd.,Laura White
TXN203,Stapler,Office Supples,15,8.99,134.85,2024-02-28,OfficeSupplies Co.,Aaron Hopkins
TXN204,Notepad,Statconery,9,2.2,19.8,2024-11-10,FurniWorks Ltd.,Kayla Hanson
TXN205,Stapler,Oafice Supplies,17,12.61,214.37,2024-06-11,QuickDeliver Ltd.,Melissa Mckee
TXN206,Whiteboard,Furniure,5,159.04,795.2,2024-04-22,OfficeSupplies Co.,Jasmine Mcgee
TXN207,Notepad,Stationezy,1,2.25,2.25,2024-04-02,OfficeSupplies Co.,Aaron Hopkins
TXN208,Stapler,Office Suppliey,10,6.92,69.2,2024-04-21,OfficeSupplies Co.,Nicole Clay
TXN099,Whiteboard,FurnFture,2,189.27,378.54,2024-06-29,OfficeSupplies Co.,Luis Holland
TXN210,Laptop,ElectrLnics,14,838.27,11735.78,2024-01-05,CloudSoft Corp.,Cynthia Jenkins
TXN211,Stapler,Office Suppliess,16,11.36,181.76,2024-03-21,CloudSoft Corp.,Walter Pena
TXN212,Stapler,Office Suppliesu,7,8.9,62.3,2024-10-06,OfficeSupplies Co.,Walter Pena
TXN213,Whiteboard,Furnitureg,19,109.37,2078.03,2024-03-06,QuickDeliver Ltd.,Jessica Hodges
TXN214,Desk Chair,FurnitureS,8,181.38,1451.04,2024-03-02,FurniWorks Ltd.,Laura White
TXN195,Notepad,Stationey,17,1.34,22.78,2024-05-20,OfficeSupplies Co.,Laura White
TXN163,Desk Chair,FurnitUre,7,164.7,1152.9,2024-02-21,QuickDeliver Ltd.,Kayla Hanson
TXN211,Notepad,StationTry,13,2.23,28.99,2024-03-25,OfficeSupplies Co.,Lisa Parks
TXN189,Notepad,S4ationery,2,1.76,3.52,2024-02-22,QuickDeliver Ltd.,Kelly Joseph
TXN219,Stapler,Office SuppliesO,14,8.34,116.76,2024-11-26,FurniWorks Ltd.,Nicole Clay
TXN220,Monitor,ElectronicsY,10,267.91,2679.1,2024-07-10,TechMart Inc.,Melissa Mckee
TXN221,Laptop,ElectronicsK,11,808.22,8890.42,2024-09-02,TechMart Inc.,Rebecca Bell
TXN220,Printer,lectronics,2,270.8,541.6,2024-10-18,CloudSoft Corp.,Stephanie Bennett
TXN223,Annual Software License,Softwae,1,8876.25,8876.25,2024-11-04,OfficeSupplies Co.,Todd James
TXN245,Printer Ink,Stationeryw,14,15.95,223.3,2024-08-12,TechMart Inc.,Jasmine Mcgee
TXN225,Stapler,Offike Supplies,17,12.26,208.42,2024-03-24,CloudSoft Corp.,Lisa Parks
TXN226,Laptop,ElPctronics,4,920.27,3681.08,2024-12-04,OfficeSupplies Co.,Stephanie Bennett
TXN227,Laptop Bag,Accessoriesx,20,33.38,667.6,2024-09-18,TechMart Inc.,Todd James
TXN228,Desk Chair,Furnitue,19,120.67,2292.73,2024-01-25,CloudSoft Corp.,Amy Warner
TXN229,Desk Chair,FurViture,10,155.66,1556.6,2024-10-15,FurniWorks Ltd.,Rebecca Bell
TXN230,Printer,Electronis,4,175.06,700.24,2024-10-14,TechMart Inc.,Lisa Parks
TXN237,Printer Ink,Stateonery,11,16.66,183.26,2024-04-13,TechMart Inc.,Kelly Joseph
TXN232,Monitor,Electroncs,15,381.95,5729.25,2024-05-11,OfficeSupplies Co.,Jasmine Mcgee
TXN233,Stapler,Office SupPlies,15,9.75,146.25,2024-11-08,FurniWorks Ltd.,Walter Pena
TXN347,Stapler,ffice Supplies,12,8.0,96.0,2024-09-22,FurniWorks Ltd.,Lisa Parks
TXN295,Stapler,Office Sup1lies,14,12.62,176.68,2024-02-29,FurniWorks Ltd.,Kayla Hanson
TXN293,Laptop Bag,Accessoriesk,1,20.72,20.72,2024-07-03,FurniWorks Ltd.,Jasmine Mcgee
TXN237,Whiteboard,FLrniture,8,164.12,1312.96,2024-02-21,CloudSoft Corp.,Kevin Adams
TXN238,Printer,Electronicsj,9,254.32,2288.88,2024-08-26,TechMart Inc.,Kayla Hanson
TXN239,Monitor,Electronicsu,20,271.03,5420.6,2024-09-09,FurniWorks Ltd.,Laura White
TXN294,Printer Ink,Staionery,11,15.66,172.26,2024-07-29,FurniWorks Ltd.,Amy Warner
TXN247,Notepad,Stationry,15,2.16,32.4,2024-03-14,QuickDeliver Ltd.,Jessica Hodges
TXN292,Laptop Bag,Accessoris,3,43.57,130.71,2024-11-14,TechMart Inc.,Barry Johnson
TXN493,Desk Chair,Furniture8,9,170.05,1530.45,2024-03-17,TechMart Inc.,Kayla Hanson
TXN294,Notepad,Statonery,1,1.57,1.57,2024-01-27,TechMart Inc.,Cynthia Jenkins
TXN294,Laptop Bag,Accessorie,15,40.6,609.0,2024-09-02,FurniWorks Ltd.,Laura White
TXN246,Printer,Electrnics,14,272.22,3811.08,2024-04-19,FurniWorks Ltd.,Luis Holland
TXN247,Printer Ink,StatJonery,14,14.19,198.66,2024-09-04,OfficeSupplies Co.,Kevin Adams
TXN248,Desk Chair,FurniturT,19,165.29,3140.51,2024-07-23,OfficeSupplies Co.,Kayla Hanson
TXN249,Notepad,Stationer,13,1.75,22.75,2024-05-28,OfficeSupplies Co.,Jessica Hodges
TXN250,Desk Chair,FuSniture,8,146.26,1170.08,2024-07-05,OfficeSupplies Co.,Nicole Clay
TXN251,Stapler,Office Supplie,19,6.33,120.27,2024-05-22,CloudSoft Corp.,Walter Pena
TXN252,Laptop,Elhctronics,11,960.7,10567.7,2024-10-22,TechMart Inc.,Todd James
TXN253,Annual Software License,SoftCare,1,5315.45,5315.45,2024-11-08,FurniWorks Ltd.,Melissa Mckee
TXN254,Stapler,Office Suppies,1,8.77,8.77,2024-04-20,TechMart Inc.,Stephanie Bennett
